Country Name,Country Code,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,ABW,"International tourism, number of arrivals",642000,728000,733000,694000,772000,827000,813000,824000,869000,904000
Angola,AGO,"International tourism, number of arrivals",107000,194000,210000,121000,195000,294000,366000,425000,481000,528000
Albania,ALB,"International tourism, number of arrivals",557000,645000,748000,937000,1127000,1420000,1856000,2417000,2932000,3514000
Argentina,ARG,"International tourism, number of arrivals",2995000,3457000,3823000,4173000,4562000,4700000,4308000,5325000,5705000,5585000
Armenia,ARM,"International tourism, number of arrivals",206000,263000,319000,382000,511000,558000,575000,684000,758000,843000
Antigua and Barbuda,ATG,"International tourism, number of arrivals",239000,246000,245000,254000,262000,266000,234000,230000,241000,247000
Australia,AUS,"International tourism, number of arrivals",4746000,5215000,5499000,5532000,5644000,5586000,5584000,5885000,5875000,6146000
Austria,AUT,"International tourism, number of arrivals",19078000,19374000,19952000,20269000,20773000,21935000,21355000,22004000,23012000,24151000
Belgium,BEL,"International tourism, number of arrivals",6690000,6710000,6747000,6995000,7045000,7165000,6815000,7186000,7494000,7591000
Benin,BEN,"International tourism, number of arrivals",175000,174000,176000,180000,186000,188000,190000,199000,209000,220000
Bulgaria,BGR,"International tourism, number of arrivals",4048000,4630000,4837000,5158000,5151000,5780000,5739000,6047000,6328000,6541000
"Bahamas, The",BHS,"International tourism, number of arrivals",1510000,1561000,1608000,1601000,1528000,1463000,1327000,1370000,1346000,1422000
Bosnia and Herzegovina,BIH,"International tourism, number of arrivals",165000,190000,217000,256000,306000,322000,311000,365000,392000,439000
Belarus,BLR,"International tourism, number of arrivals",64000,68000,91000,90000,105000,92000,95000,120000,116000,119000
Belize,BLZ,"International tourism, number of arrivals",221000,231000,237000,247000,251000,245000,232000,242000,250000,277000
Bermuda,BMU,"International tourism, number of arrivals",257000,272000,270000,299000,306000,264000,236000,232000,236000,232000
Bolivia,BOL,"International tourism, number of arrivals",427000,480000,524000,521000,573000,594000,671000,807000,953000,1114000
Brazil,BRA,"International tourism, number of arrivals",4133000,4794000,5358000,5017000,5026000,5050000,4802000,5161000,5433000,5677000
Barbados,BRB,"International tourism, number of arrivals",531000,552000,548000,563000,575000,568000,519000,532000,568000,536000
Bhutan,BTN,"International tourism, number of arrivals",6000,9000,14000,17000,21000,28000,23000,41000,66000,105000
Canada,CAN,"International tourism, number of arrivals",17534000,19145000,18771000,18265000,17935000,17142000,15737000,16219000,16014000,16344000
Switzerland,CHE,"International tourism, number of arrivals",6530000,,7229000,7863000,8448000,8608000,8294000,8628000,8534000,8566000
Chile,CHL,"International tourism, number of arrivals",1614000,1785000,2027000,2253000,2507000,2710000,2760000,2801000,3137000,3554000
China,CHN,"International tourism, number of arrivals",32970000,41761000,46809000,49913000,54720000,53049000,50875000,55664000,57581000,57725000
"Congo, Rep.",COG,"International tourism, number of arrivals",23000,31000,35000,46000,55000,62000,94000,101000,168000,204000
Colombia,COL,"International tourism, number of arrivals",625000,791000,933000,2045000,2254000,2317000,2364000,1405000,2042000,2175000
Cabo Verde,CPV,"International tourism, number of arrivals",150000,157000,198000,242000,267000,285000,287000,336000,428000,482000
Costa Rica,CRI,"International tourism, number of arrivals",1239000,1453000,1679000,1725000,1980000,2089000,1923000,2100000,2192000,2343000
Caribbean small states,CSS,"International tourism, number of arrivals",5105000,5425000,5591000,5814000,5778000,5746000,5489000,5704000,5818000,5978059.4534712
Cuba,CUB,"International tourism, number of arrivals",1847000,2017000,2261000,2150000,2119000,2316000,2405000,2507000,2688000,2815000
Curacao,CUW,"International tourism, number of arrivals",221000,223000,222000,234000,300000,409000,367000,342000,390000,420000
Cayman Islands,CYM,"International tourism, number of arrivals",294000,260000,168000,267000,292000,303000,272000,288000,309000,322000
Cyprus,CYP,"International tourism, number of arrivals",2303000,2349000,2470000,2401000,2416000,2404000,2141000,2173000,2392000,2465000
Czech Republic,CZE,"International tourism, number of arrivals",7641000,9047000,9404000,9539000,10162000,10119000,8848000,8629000,9019000,8908000
Germany,DEU,"International tourism, number of arrivals",18399000,20137000,21500000,23569000,24421000,24884000,24220000,26875000,28374000,30411000
Dominica,DMA,"International tourism, number of arrivals",73000,80000,79000,84000,81000,81000,75000,77000,76000,79000
Denmark,DNK,"International tourism, number of arrivals",3474000,4421000,9178000,9256000,9284000,9016000,8547000,8744000,7864000,8068000
Dominican Republic,DOM,"International tourism, number of arrivals",3282000,3450000,3691000,3965000,3980000,3980000,3992000,4125000,4306000,4563000
Algeria,DZA,"International tourism, number of arrivals",1166000,1234000,1443000,1638000,1743000,1772000,1912000,2070000,2395000,2634000
Ecuador,ECU,"International tourism, number of arrivals",761000,819000,860000,841000,937000,1005000,968000,1047000,1141000,1272000
"Egypt, Arab Rep.",EGY,"International tourism, number of arrivals",5746000,7795000,8244000,8646000,10610000,12296000,11914000,14051000,9497000,11196000
Spain,ESP,"International tourism, number of arrivals",50854000,52430000,55914000,58004000,58666000,57192000,52178000,52677000,56177000,57701000
Estonia,EST,"International tourism, number of arrivals",1462000,1750000,1917000,1940000,1900000,2079000,2059000,2372000,2665000,2744000
Ethiopia,ETH,"International tourism, number of arrivals",180000,184000,227000,330000,358000,383000,427000,468000,523000,596000
Finland,FIN,"International tourism, number of arrivals",2601000,2840000,3140000,3375000,3519000,3583000,3423000,3670000,4192000,4226000
Fiji,FJI,"International tourism, number of arrivals",431000,504000,545000,549000,540000,585000,542000,632000,675000,661000
France,FRA,"International tourism, number of arrivals",75048000,74433000,74988000,77916000,80853000,79218000,76764000,77648000,81550000,83013000
United Kingdom,GBR,"International tourism, number of arrivals",22787000,25678000,28039000,30654000,30870000,30142000,28199000,28295000,29306000,29282000
